ID,Word List,Category,English,Male' - Latin,Male' - Thaana,Addu - Latin,Addu - Thaana,Huvadhu - Latin,Huvadhu - Thaana,Fuvahmulah - Latin,Fuvahmulah - Thaana,Sinhala,Malayalam,Arabic,Notes
SW100-087,Swadesh 100,Personal Pronouns,thou,Kaley / Kalaa,ކަލޭ / ކަލާ‎,Thiba,ތިބާ,Kaley / Kalaa,ކަލޭ / ކަލާ‎,,,Òyā / Òhe / U / Tamuse / To / Nu / Òba / Òbatumā,Nī,,
SW100-088,Swadesh 100,Body Parts & Substances,tongue,Dhoo,ދޫ,Dhoo,ދޫ,Dhoo,ދޫ,,,Diva,Nākk / Nāv,Lisāna,
SW100-089,Swadesh 100,Body Parts & Substances,tooth,Dhath,ދަތް,Dhath,ދަތް,Dhath,ދަތް,,,Data,Pall,Sinna,
SW100-090,Swadesh 100,Plants & Plant Parts,tree,Gas,ގަސް,Gas,ގަސް,Gas,ގަސް,,,Gasa,Maraṃ / Vṛkṣaṃ,Śajaraha,
SW100-091,Swadesh 100,Numerals,two,Dhey,ދޭއް,Dhey,ދޭއް,Dhey,ދޭއް,,,Dèka,Raṇṭ,,
SW100-092,Swadesh 100,Position & Movement,walk,,,,,,,,,,,,
SW100-093,Swadesh 100,Descriptives,warm (hot),Baa / Bau,ބާ / ބައު,Baa / Bao,ބާ / ބައޮ,Baa,ބާ / ބައަ,,,Uṇusum,Cūṭ,Dāfiˀya,
SW100-094,Swadesh 100,Natural Objects & Phenomena,water,Fen,ފެން,Fen,ފެން,Feng,ފެންގް,,,Vatura,,Māʔ,
SW100-095,Swadesh 100,Personal Pronouns,we,Aharemen / Alugandumen,އަހަރެމެން / އަލުގަނޑުމެން,Aharemen / Alugandumen,އަހަރެމެން / އަލުގަނޑުމެން,Aharemen / Alugandumen,އަހަރެމެން / އަލުގަނޑުމެން,,,Api,Namma / Ñaṅṅa,Naḧnu,
SW100-096,Swadesh 100,Interrogatives,what,Konechche / Koache,ކޮންއެޗްޗެއް / ކޯއްޗެއް,Konechche / Koache,ކޮންއެޗްޗެއް / ކޯއްޗެއް,Konechche / Koache,ކޮންއެޗްޗެއް / ކޯއްޗެއް,,,Mònavā / Mòka,Ènt,,
SW100-097,Swadesh 100,Colors,white,Hudhu,ހުދު,Hudho,ހުދޮ,Hudha,ހުދަ,,,Sudu,Vèḻḻa,,
SW100-098,Swadesh 100,Interrogatives,who,Kaaku,ކާކު,Kaako,ކާކޮ,Kaaka,ކާކަ,,,Kavuru,Ār,Man,
SW100-099,Swadesh 100,Persons,woman,,,,,,,,,,,,
SW100-100,Swadesh 100,Colors,yellow,Reendhoo,ރީނދޫ,Reendhoo,ރީނދޫ,Reendhoo,ރީނދޫ,,,Kaha,Mañña,,
