ID,Word List,Category,English,Entity_A,Entity_B,Word_A,Word_B,Raw_Distance,Normalized_Distance,Similarity_Pct,Is_Dhivehi_Pair
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Huvadhu,Sinhala,Velaa,Valākuḻa,5,0.625,37.5,No
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Huvadhu,Malayalam,Velaa,Meghaṃ,4,0.6667,33.33,No
SW100-015,Swadesh 100,Descriptives,cold,Male',Addu,Fini,Fini,0,0.0,100.0,Yes
SW100-015,Swadesh 100,Descriptives,cold,Male',Huvadhu,Fini,Fini,0,0.0,100.0,Yes
SW100-015,Swadesh 100,Descriptives,cold,Male',Sinhala,Fini,Sītala,6,1.0,0.0,No
SW100-015,Swadesh 100,Descriptives,cold,Male',Malayalam,Fini,Taṇupp,6,1.0,0.0,No
SW100-015,Swadesh 100,Descriptives,cold,Male',Arabic,Fini,Bārida,5,0.8333,16.67,No
SW100-015,Swadesh 100,Descriptives,cold,Addu,Huvadhu,Fini,Fini,0,0.0,100.0,Yes
SW100-015,Swadesh 100,Descriptives,cold,Addu,Sinhala,Fini,Sītala,6,1.0,0.0,No
SW100-015,Swadesh 100,Descriptives,cold,Addu,Malayalam,Fini,Taṇupp,6,1.0,0.0,No
SW100-015,Swadesh 100,Descriptives,cold,Addu,Arabic,Fini,Bārida,5,0.8333,16.67,No
SW100-015,Swadesh 100,Descriptives,cold,Huvadhu,Sinhala,Fini,Sītala,6,1.0,0.0,No
SW100-015,Swadesh 100,Descriptives,cold,Huvadhu,Malayalam,Fini,Taṇupp,6,1.0,0.0,No
SW100-015,Swadesh 100,Descriptives,cold,Huvadhu,Arabic,Fini,Bārida,5,0.8333,16.67,No
SW100-016,Swadesh 100,Position & Movement,come,Male',Addu,Aadhey,Aassele,4,0.5714,42.86,Yes
SW100-016,Swadesh 100,Position & Movement,come,Male',Huvadhu,Aun,Ahafen,4,0.6667,33.33,Yes
SW100-016,Swadesh 100,Position & Movement,come,Male',Sinhala,Aun,Ènavā,4,0.8,20.0,No
SW100-016,Swadesh 100,Position & Movement,come,Male',Malayalam,Aun,Varuka,4,0.6667,33.33,No
SW100-016,Swadesh 100,Position & Movement,come,Addu,Huvadhu,Aassele,Ahafele,3,0.4286,57.14,Yes
SW100-016,Swadesh 100,Position & Movement,come,Addu,Sinhala,Aassele,Ènavā,7,1.0,0.0,No
SW100-016,Swadesh 100,Position & Movement,come,Addu,Malayalam,Aassele,Varuka,6,0.8571,14.29,No
SW100-016,Swadesh 100,Position & Movement,come,Huvadhu,Sinhala,Ahafen,Ènavā,5,0.8333,16.67,No
SW100-016,Swadesh 100,Position & Movement,come,Huvadhu,Malayalam,Ahafele,Varuka,6,0.8571,14.29,No
SW100-017,Swadesh 100,Body Sensations & Activities,die,Male',Addu,Maruvun,Maravun,1,0.1429,85.71,Yes
SW100-017,Swadesh 100,Body Sensations & Activities,die,Male',Huvadhu,Maruvun,Maravege,4,0.5,50.0,Yes
SW100-017,Swadesh 100,Body Sensations & Activities,die,Male',Sinhala,Maruvun,Marènavā,5,0.625,37.5,No
SW100-017,Swadesh 100,Body Sensations & Activities,die,Male',Malayalam,Maruvun,Marikkuka,5,0.5556,44.44,No
SW100-017,Swadesh 100,Body Sensations & Activities,die,Male',Arabic,Maruvun,Māta,6,0.8571,14.29,No
SW100-017,Swadesh 100,Body Sensations & Activities,die,Addu,Huvadhu,Maravun,Maravege,3,0.375,62.5,Yes
